Nama Wilayah,,,,,,,,
,Garis Kemiskinan Menurut Kabupaten/Kota (Rupiah/kapita/bulan),,,,,,,
Kota Cimahi,411665,433759,462969,484804,511375,522281,549450,590197
Kota Tasikmalaya,397215,416837,447008,457899,470150,480341,498711,537497
Kota Banjar,289369,305603,324958,334590,344363,357210,373510,408710
JAWA TENGAH,317348,333224,350875,369385,395407,409193,438833,477580
Cilacap,292525,307041,320106,337572,351735,363367,384955,419429
Banyumas,344514,357748,366442,385140,406250,417086,441520,479027
Purbalingga,301862,313343,324735,355702,375199,384183,407849,439208
Banjarnegara,252328,264387,278210,301792,318334,328679,351333,380046
Kebumen,313881,325819,342437,362847,380557,390599,416004,451678
Purworejo,313931,325871,335995,345458,364289,376127,393731,427622
Wonosobo,297422,308553,323490,340827,362683,373474,399180,425105
Magelang,271800,281237,296327,325921,342430,353608,377497,411129
Boyolali,283921,293405,304575,332996,347520,361922,383030,420339
Klaten,364240,376305,397447,405537,419510,436896,458872,488102
Sukoharjo,327217,337037,345363,377319,393776,410273,434318,476675
Wonogiri,275507,284710,293357,327364,341643,356728,376763,414901
Karanganyar,329531,340538,348896,365151,385563,401542,424677,465703
Sragen,283649,292544,312106,335334,348890,363349,389265,426482
Grobogan,333009,345379,366192,375521,395001,404456,428597,464614
Blora,279972,291114,308520,335837,353259,363649,390478,425135
Rembang,338986,354440,365443,384561,403932,414977,441482,477514
Pati,377442,393817,414316,423922,445913,458616,486855,532545
Kudus,356951,373224,393078,406470,429666,450992,482806,520830
Jepara,341754,355607,371296,386693,407056,419028,442618,479131
Demak,356919,371525,402211,411202,432533,445176,471818,511145
Semarang,307505,317935,341576,377674,404455,416395,459151,498952
Temanggung,268730,277707,287981,310176,323705,336034,354012,388369
Kendal,323078,335497,353127,369769,396691,407387,433864,465936
Batang,240541,249292,256549,286116,309202,318330,341252,378858
Pekalongan,341648,354435,361297,382832,403662,416779,441765,480934
Pemalang,319434,331584,351183,372115,389209,401857,429549,467204
Tegal,308270,319758,332298,365334,390520,404655,434638,470728
Brebes,364059,382125,405932,414642,431897,445853,472326,513339
Kota Magelang,425191,450908,476582,481282,522099,537783,575130,602794
Kota Surakarta,430293,448062,464063,473516,487445,511216,538441,600953
Kota Salatiga,345146,359944,380856,418955,454154,480903,518815,565031
Kota Semarang,382160,402297,427511,474930,522691,543929,589598,642456
Kota Pekalongan,375600,390555,415172,425026,460789,480415,513243,565998
Kota Tegal,395631,418845,455488,465047,502031,523413,565826,623617
D I YOGYAKARTA,354084,374009,409744,432026,463479,482855,521673,573022
Kulon Progo,297353,312403,323105,333781,353807,360202,381666,416870
Bantul,332057,347476,369480,381538,405613,418265,445511,488340
Gunung Kidul,264637,277261,288748,301125,319851,325907,350739,382249
Sleman,334406,351331,370127,382868,411610,422933,450763,491652
Kota Yogyakarta,401193,423815,467061,495562,533423,556674,601905,662267
JAWA TIMUR,321761,342092,373574,397687,416001,429133,460909,507286
Pacitan,239339,250942,268592,283321,296271,309655,327758,352606
Ponorogo,266312,279168,297467,313175,326205,341090,362461,395069
Trenggalek,275426,288779,308644,323787,340915,358831,381448,411527
Tulungagung,304518,314532,328640,341651,362213,374183,391888,423875
Blitar,272358,285474,305440,318534,325675,335573,355511,387733
Kediri,272374,281012,294098,305491,324215,335990,353033,385874
Malang,282933,294904,314550,329512,338156,348695,367579,399647
Lumajang,258840,267366,281461,296633,318196,334906,352776,386995
Jember,299823,310650,324174,339685,365295,380397,400961,441171
Banyuwangi,311722,319236,339891,353873,373679,387084,414879,448928
Bondowoso,331975,343124,363443,380350,408352,423150,449760,494000
Situbondo,270406,276924,294209,305280,322527,336040,356133,396587
Probolinggo,373569,384343,402532,417991,441258,451395,475713,514274
Pasuruan,306311,315145,331057,335653,355299,368686,394016,429624
Sidoarjo,394401,414479,437899,462738,486421,502524,523213,571696
Mojokerto,330940,345487,370610,394003,406043,417784,445608,486520
Jombang,337217,353456,374895,399633,410116,421172,448830,488754
